url,classification,framework_guess,evidence_sentence,notes
https://www.flipkart.com/,SSR,unknown,Location not set,"Browser title: Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers! No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 4/4. Nearly all sampled visible content was present in raw HTML. HTTP status: 200"
https://www.nykaa.com/,CSR,unknown,NO_VISIBLE_EVIDENCE_FOUND,"Navigation error: Error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.nykaa.com/ Call log:   - navigating to ""https://www.nykaa.com/"", waiting until ""domcontentloaded""  Raw HTML was obtained through a separate browser request. No recognized framework marker or bundle signal found. Evidence in raw HTML: no. Other visible strings found: 0/0. Evidence was absent from raw HTML; classified as CSR under the protocol."
https://www.ajio.com/,Hybrid,unknown,Access Denied,"Browser title: Access Denied No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 0/3. Some visible content was present, but other content was missing. HTTP status: 403"
https://www.swiggy.com/,CSR,unknown,NO_VISIBLE_EVIDENCE_FOUND,Could not read initial response body: Response.text: Protocol error (Network.getResponseBody): No resource with given identifier found Response body is not available for a response that was navigated away from. Read response.body() before triggering any navigation. Raw HTML was obtained through a separate browser request. No recognized framework marker or bundle signal found. Evidence in raw HTML: no. Other visible strings found: 0/0. Raw body resembles a JavaScript application shell. HTTP status: 202
https://www.zomato.com/,CSR,Astro,NO_VISIBLE_EVIDENCE_FOUND,"Navigation error: Error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.zomato.com/ Call log:   - navigating to ""https://www.zomato.com/"", waiting until ""domcontentloaded""  Raw HTML was obtained through a separate browser request. Framework signals: source marker: astro-island Evidence in raw HTML: no. Other visible strings found: 0/0. Evidence was absent from raw HTML; classified as CSR under the protocol."
https://www.zoho.com/,CSR,unknown,"Zoholics India is back—and this time, we're hosting it at our Chennai campus! Grab your spot.",Browser title: Zoho | Cloud Software Suite for Businesses No recognized framework marker or bundle signal found. Evidence in raw HTML: no. Other visible strings found: 2/4. Evidence was absent from raw HTML; classified as CSR under the protocol. HTTP status: 200
https://www.freshworks.com/,Hybrid,Next.js / Webpack,Skip to main content,"Network did not become idle within the short wait window. Browser title: Freshworks: Unified Service Operations for the AI era Framework signals: source marker: id=""__next""; bundle signal: _next/static; bundle signal: next/; bundle signal: webpack Evidence in raw HTML: yes. Other visible strings found: 2/4. Some visible content was present, but other content was missing. HTTP status: 200"
https://www.chargebee.com/,CSR,Nuxt,"Accessibility Screen-Reader Guide, Feedback, and Issue Reporting | New window",Network did not become idle within the short wait window. Browser title: Chargebee: Billing & Monetization for SaaS and AI Companies Framework signals: source marker: __nuxt__ Evidence in raw HTML: no. Other visible strings found: 3/4. Evidence was absent from raw HTML; classified as CSR under the protocol. HTTP status: 200
https://www.browserstack.com/,Hybrid,unknown,Skip to main content,"Network did not become idle within the short wait window. Browser title: Most Reliable App & Cross Browser Testing Platform | BrowserStack No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 2/4. Some visible content was present, but other content was missing. HTTP status: 200"
https://www.postman.com/,SSR,Next.js,Skip to main content,Network did not become idle within the short wait window. Browser title: Postman: The World's Leading API Platform | Sign Up for Free Framework signals: bundle signal: _next/static; bundle signal: next/ Evidence in raw HTML: yes. Other visible strings found: 4/4. Nearly all sampled visible content was present in raw HTML. HTTP status: 200
https://www.amazon.com/,SSR,unknown,Main content,Network did not become idle within the short wait window. Could not read initial response body: Response.text: Protocol error (Network.getResponseBody): No resource with given identifier found Response body is not available for a response that was navigated away from. Read response.body() before triggering any navigation. Raw HTML was obtained through a separate browser request. Browser title: Amazon.com. Spend less. Smile more. No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 3/4. Nearly all sampled visible content was present in raw HTML. HTTP status: 202
https://en.wikipedia.org/wiki/Web_scraping,SSR,unknown,Jump to content,Browser title: Web scraping - Wikipedia No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 3/4. Nearly all sampled visible content was present in raw HTML. HTTP status: 200
https://github.com/,SSR,unknown,Skip to content,Browser title: GitHub · Change is constant. GitHub keeps you ahead. · GitHub No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 3/4. Nearly all sampled visible content was present in raw HTML. HTTP status: 200
https://www.airbnb.com/,CSR,unknown,Skip to content,"Network did not become idle within the short wait window. Could not read initial response body: Response.text: Protocol error (Network.getResponseBody): No resource with given identifier found Response body is not available for a response that was navigated away from. Read response.body() before triggering any navigation. Raw HTML was obtained through a separate browser request. Browser title: Airbnb | Holiday rentals, cabins, beach houses & more No recognized framework marker or bundle signal found. Evidence in raw HTML: no. Other visible strings found: 0/4. Raw body resembles a JavaScript application shell. HTTP status: 200"
https://www.shopify.com/,SSR,unknown,Skip to Content,Browser title: Shopify: Your Commerce Platform to Sell Online & In Person - Shopify India No recognized framework marker or bundle signal found. Evidence in raw HTML: yes. Other visible strings found: 4/4. Nearly all sampled visible content was present in raw HTML. HTTP status: 200
